"LOCALITY";"STRAT";"DMIN";"DMAX";"AREA";"DEPTH";"NAME"
"Stratum.01220";1220;0;183;454;183;"5Z "
"Stratum.01230";1230;0;110;1016;110;"5Z "
"Stratum.01240";1240;0;183;2569;183;"5Z "
"Stratum.01250";1250;0;55;390;55;"5Z "
"Stratum.01260";1260;0;110;1014;110;"5Y "
"Stratum.01270";1270;0;183;720;183;"5Y "
"Stratum.01280";1280;0;366;2249;366;"5Y "
"Stratum.01300";1300;0;366;619;366;"5Z "
"Stratum.01290";1290;0;366;3245;366;"5Z "
"Stratum.496";496;200;400;311;300;"4VSc "
"Stratum.497";497;200;400;508;300;"4Wgj "
"Stratum.498";498;200;400;476;300;"4Wlx "
"Stratum.802";802;200;299;100;200;"4XP "
"Stratum.803";803;300;399;100;300;"4XP "
"Stratum.804";804;400;499;100;400;"4XP "
"Stratum.805";805;500;599;100;500;"4XP "
"Stratum.806";806;600;699;100;600;"4XP "
"Stratum.807";807;700;799;100;700;"4XP "
"Stratum.808";808;800;899;100;800;"4XP "
"Stratum.809";809;900;999;100;900;"4XP "
"Stratum.812";812;200;299;100;200;"4XN "
"Stratum.813";813;300;399;100;300;"4XN "
"Stratum.814";814;400;499;100;400;"4XN "
"Stratum.815";815;500;599;100;500;"4XN "
"Stratum.816";816;600;699;100;600;"4XN "
"Stratum.817";817;700;799;100;700;"4XN "
"Stratum.818";818;800;899;100;800;"4XN "
"Stratum.819";819;900;999;100;900;"4XN "
"Stratum.822";822;200;299;100;200;"4WL "
"Stratum.823";823;300;399;100;300;"4WL "
"Stratum.824";824;400;499;100;400;"4WL "
"Stratum.825";825;500;599;100;500;"4WL "
"Stratum.826";826;600;699;100;600;"4WL "
"Stratum.827";827;700;799;100;700;"4WL "
"Stratum.828";828;800;899;100;800;"4WL "
"Stratum.829";829;900;999;100;900;"4WL "
"Stratum.832";832;200;299;100;200;"4WJ "
"Stratum.833";833;300;399;100;300;"4WJ "
"Stratum.834";834;400;499;100;400;"4WJ "
"Stratum.835";835;500;599;100;500;"4WJ "
"Stratum.836";836;600;699;100;600;"4WJ "
"Stratum.837";837;700;799;100;700;"4WJ "
"Stratum.838";838;800;899;100;800;"4WJ "
"Stratum.839";839;900;999;100;900;"4WJ "
"Stratum.842";842;200;299;100;200;"4WG "
"Stratum.843";843;300;399;100;300;"4WG "
"Stratum.844";844;400;499;100;400;"4WG "
"Stratum.845";845;500;599;100;500;"4WG "
"Stratum.846";846;600;699;100;600;"4WG "
"Stratum.847";847;700;799;100;700;"4WG "
"Stratum.848";848;800;899;100;800;"4WG "
"Stratum.849";849;900;999;100;900;"4WG "
"Stratum.852";852;200;299;100;200;"4VSC "
"Stratum.853";853;300;399;100;300;"4VSC "
"Stratum.854";854;400;499;100;400;"4VSC "
"Stratum.855";855;500;599;100;500;"4VSC "
"Stratum.856";856;600;699;100;600;"4VSC "
"Stratum.857";857;700;799;100;700;"4VSC "
"Stratum.858";858;800;899;100;800;"4VSC "
"Stratum.859";859;900;999;100;900;"4VSC "
"Stratum.862";862;200;299;100;200;"4VSB "
"Stratum.863";863;300;399;100;300;"4VSB "
"Stratum.864";864;400;499;100;400;"4VSB "
"Stratum.865";865;500;599;100;500;"4VSB "
"Stratum.866";866;600;699;100;600;"4VSB "
"Stratum.867";867;700;799;100;700;"4VSB "
"Stratum.868";868;800;899;100;800;"4VSB "
"Stratum.869";869;900;999;100;900;"4VSB "
"Stratum.872";872;200;299;100;200;"4VN "
"Stratum.873";873;300;399;100;300;"4VN "
"Stratum.874";874;400;499;100;400;"4VN "
"Stratum.875";875;500;599;100;500;"4VN "
"Stratum.876";876;600;699;100;600;"4VN "
"Stratum.877";877;700;799;100;700;"4VN "
"Stratum.878";878;800;899;100;800;"4VN "
"Stratum.879";879;900;999;100;900;"4VN "
"Stratum.467";467;0;100;585;128;"4VSW "
"Stratum.468";468;0;50;518;93;"4VSW "
"Stratum.469";469;0;50;615;50;"4VSW "
"Stratum.499";499;10;50;2158;44;"4XITQ "
"Stratum.397";397;201;250;540;250;"4VSb "
"Stratum.398";398;201;300;833;300;"4VSc "
"Stratum.399";399;201;300;465;300;"4VSc "
"Stratum.400";400;201;250;270;250;"4VSb "
"Stratum.428";428;0;49;202;50;"4T "
"Stratum.421";421;0;49;329;50;"4T "
"Stratum.432";432;0;49;301;50;"4T "
"Stratum.451";451;101;200;147;200;"4VSW "
"Stratum.458";458;0;49;658;51;"4VSW "
"Stratum.462";462;51;100;2116;128;"4VSW "
"Stratum.473";473;0;49;265;50;"4X "
"Stratum.492";492;51;100;1086;122;"4X "
"Stratum.417";417;0;49;525;50;"4T "
"Stratum.406";406;0;150;4650;150;"4W "
"Stratum.410";410;0;100;2936;100;"4W "
"Stratum.509";509;27;55;1522;55;"5Z "
"Stratum.447";447;0;49;1616;50;"4VSW "
"Stratum.554";554;0;100;2672;100;"5Z "
"Stratum.5Z7";"5Z7";0;50;3199;50;"5Z "
"Stratum.440";440;101;200;924;200;"4VN "
"Stratum.436";436;0;49;958;50;"4T "
"Stratum.466";466;101;200;226;200;"4VSW "
"Stratum.470";470;51;100;920;118;"4X "
"Stratum.477";477;51;100;1232;100;"4X "
"Stratum.481";481;51;100;1875;100;"4X "
"Stratum.510";510;56;110;2722;110;"5Z "
"Stratum.425";425;101;200;630;150;"4T "
"Stratum.551";551;100;200;3263;200;"5Z "
"Stratum.5Z4";"5Z4";0;50;3079;50;"5Z "
"Stratum.455";455;0;49;2122;50;"4VSW "
"Stratum.433";433;0;49;1188;50;"4T "
"Stratum.459";459;0;200;3148;173;"4VSW "
"Stratum.444";444;51;100;3925;100;"4VSW "
"Stratum.463";463;0;49;302;52;"4VSW "
"Stratum.474";474;0;49;161;50;"4X "
"Stratum.485";485;51;100;1582;113;"4X "
"Stratum.403";403;0;150;3401;150;"4VS "
"Stratum.555";555;0;50;2082;50;"5Z "
"Stratum.429";429;0;49;1696;50;"4T "
"Stratum.5Z1";"5Z1";51;100;795;100;"5Z "
"Stratum.5Z8";"5Z8";51;100;2014;100;"5Z "
"Stratum.418";418;0;49;394;50;"4T "
"Stratum.441";441;51;100;1000;100;"4VN "
"Stratum.452";452;101;200;345;200;"4VSW "
"Stratum.471";471;101;200;1004;133;"4X "
"Stratum.448";448;0;49;1449;51;"4VSW "
"Stratum.478";478;101;200;233;200;"4X "
"Stratum.482";482;101;200;1042;102;"4X "
"Stratum.493";493;0;49;533;51;"4X "
"Stratum.5Z5";"5Z5";51;100;2336;100;"5Z "
"Stratum.411";411;100;200;379;200;"4W "
"Stratum.511";511;111;183;622;183;"5Z "
"Stratum.407";407;0;150;1763;150;"4W "
"Stratum.437";437;51;100;495;100;"4T "
"Stratum.552";552;50;100;1179;100;"5Z "
"Stratum.426";426;51;100;388;100;"4T "
"Stratum.456";456;0;49;955;63;"4VSW "
"Stratum.460";460;51;100;1344;104;"4VSW "
"Stratum.475";475;0;49;156;53;"4X "
"Stratum.404";404;100;200;150;200;"4VS "
"Stratum.415";415;101;200;764;150;"4T "
